stock,name,year,month,price,sector,subsector,PE,P_FCF,ROA,ROC,ROE,OPROE,EPS_GROWTH,EBIT,EBIT_MARGIN
KEY US Equity,KEYCORP,2019,1,16.54,Financials,Banks,9.0413,7.0205,1.3458,6.1625,12.3358,13.007,164.7059,NA,NA
KEYS US Equity,KEYSIGHT TECHNOLOGIES IN,2019,1,73.41,Industrials,Electronic & Electrical Equipment,16.9366,28.5632,2.8068,5.374,6.9576,30.9039,-205,-569,-8.9221
KG US Equity,KP PHARMACEUTICALS LLC,2019,1,14.25,Health Care,Pharmaceuticals & Biotechnology,38.3558,12.6544,2.5099,3.6158,3.5103,3.858,-5.8824,68.724,11.2796
KGX GY Equity,KION GROUP AG,2019,1,51.66,Industrials,Industrial Engineering,14.8809,12.2853,3.6644,8.743500000000001,14.314,17.7505,23.8806,191.71599999999998,7.538
KHC US Equity,KRAFT HEINZ CO/THE,2019,1,46.97,Consumer Goods,Food Producers,14.1189,28.5563,8.6596,12.0735,16.7257,6.8422,-33.3333,1070,21.0326
KIM US Equity,KIMCO REALTY CORP,2019,1,17,Financials,Real Estate Investment Trusts,24.5876,71.5718,4.3738,4.6747,10.1698,6.976,0,111.452,34.5088
KLAC US Equity,KLA-TENCOR CORP,2019,1,105.42,Technology,Technology Hardware & Equipment,11.6561,12.6756,25.8013,40.1907,100.6424,100.7852,42.4581,433.273,39.18
KM US Equity,KMART CORP,2019,1,31.15,Consumer Services,General Retailers,NA,NA,-26.0415,5.7272,-122.0237,-46.2292,43.4028,-228,-6.8754
KMB US Equity,KIMBERLY-CLARK CORP,2019,1,107.69,Consumer Goods,Personal Goods,16.7967,18.52,9.5049,20.7017,798.234,1001.0596,-32.3864,639,12.0578
KMG US Equity,KMG CHEMICALS INC,2019,1,76.34,Basic Materials,Chemicals,20.8731,17.0748,8.0505,11.3339,21.9881,18.7139,159.4993,22.362,18.929
KMI US Equity,KINDER MORGAN INC,2019,1,18.14,Oil & Gas,"Oil Equipment, Services & Distribution",22.2693,19.3616,2.0377,2.2448,4.5981,5.6649,106.6667,1058,26.8241
KMX US Equity,CARMAX INC,2019,1,59.03,Consumer Services,General Retailers,13.5751,104.336,4.3249,4.9124,22.9222,22.9222,32.9268,269.442,6.3766
KN FP Equity,NATIXIS,2019,1,4.564,Financials,Banks,9.1359,1.3478,0.3633,0.8856,9.3791,9.2028,10.0035,NA,NA
KNEBV FH Equity,KONE OYJ-B,2019,1,41.89,Industrials,Industrial Engineering,26.0061,25.5841,11.0661,26.0789,27.6647,29.4968,0,335.78999999999996,11.493
KO US Equity,COCA-COLA CO/THE,2019,1,47.85,Consumer Goods,Beverages,22.7769,32.6292,3.1704,4.6339,13.9267,43.574,61.7647,2526,25.9517
KONBS FH Equity,KONE OYJ-B SHS,2019,1,42.411,Industrials,Industrial Engineering,17.26,NA,5.7148,NA,17.2902,17.2902,-7.777,-57.629599999999996,6.188
KORS US Equity,MICHAEL KORS HOLDINGS LTD,2019,1,43.75,Consumer Goods,Personal Goods,9.4528,7.8352,17.6984,NA,29.4878,38.2011,-31.3433,189.4,15.863199999999999
KPN NA Equity,KONINKLIJKE KPN NV,2019,1,2.528,Telecommunications,Fixed Line Telecommunications,45.3173,9.8904,2.0808,8.8401,12.4798,16.8593,-33.3333,203.196,13.9943
KR US Equity,KROGER CO,2019,1,28.23,Consumer Services,Food & Drug Retailers,13.2245,20.3358,9.8578,19.1116,53.3016,26.3571,-11.3636,647,1.8283
KRB US Equity,MBNA CORP,2019,1,27.11,Financials,Financial Services,13.2732,7.6215,3.45,7.7239,16.9594,20.8089,0,NA,NA
KRI US Equity,KNIGHT RIDDER INC,2019,1,60.7,Consumer Services,Media,17.341,36.3303,9.9966,17.2833,35.8367,20.3816,-10.7914,154.661,16.6712
KSE US Equity,KEYSPAN CORP,2019,1,42.18,Utilities,"Gas, Water & Multiutilities",16.9478,23.1012,3.2413,6.9190000000000005,9.5734,9.550699999999999,7.1429,128.2,11.2413
KSP ID Equity,KINGSPAN GROUP PLC,2019,1,37.3,Industrials,Construction & Materials,19.3999,21.754,8.605,13.2013,18.9196,18.9196,8.4677,213.8724,9.6164
KSS US Equity,KOHLS CORP,2019,1,68.87,Consumer Services,General Retailers,13.0522,6.8882,7.3234,16.7041,18.1195,15.7543,42.7419,452,7.3853
KSU US Equity,KANSAS CITY SOUTHERN,2019,1,107.87,Industrials,Industrial Transportation,18.1839,32.8957,6.7215,9.2421,13.4159,12.7079,-70.2804,256.4,36.3412
KYG ID Equity,KERRY GROUP PLC-A,2019,1,92,Consumer Goods,Food Producers,29.1772,44.4364,7.9254999999999995,12.2906,16.8024,17.947,0.5486,335.78999999999996,10.1133
L US Equity,LOEWS CORP,2019,1,47.73,Financials,Nonlife Insurance,22.5966,4.7177,1.6202,5.7576,6.7522,5.625,91.3043,NA,NA
LB US Equity,L BRANDS INC,2019,1,27.53,Consumer Services,General Retailers,9.9058,13.013,11.6632,25.361,105.3244,114.7354,-25,228,12.2721
LDG US Equity,LONGS DRUG STORES CORP,2019,1,71.54,Consumer Services,Food & Drug Retailers,24.6436,24.5852,5.8949,11.0361,12.6186,12.6453,13.0435,46.982,3.3056
LDO IM Equity,LEONARDO SPA,2019,1,8.362,Industrials,Aerospace & Defense,11.5719,222.6126,1.5925,4.1501,6.1824,9.1263,11.7597,127.42799999999998,3.539
LDOS US Equity,LEIDOS HOLDINGS INC,2019,1,58.03,Technology,Software & Computer Services,17.2952,12.6022,5.6867,9.5908,15.0267,13.8865,79.6296,203,6.5786
LEG GY Equity,LEG IMMOBILIEN AG,2019,1,103.4,Financials,Real Estate Investment & Services,7.6836,4605.9675,7.781,9.3049,19.703,6.2473,-12.1359,112.04479999999998,266.7752
LEG US Equity,LEGGETT & PLATT INC,2019,1,40.51,Consumer Goods,Household Goods & Home Construction,16.4156,19.5491,8.4158,13.3749,24.7423,26.3061,8.0645,124.4,11.2519
LEN US Equity,LENNAR CORP-A,2019,1,46.5,Consumer Goods,Household Goods & Home Construction,7.7413,10.2315,7.1688,9.5769,14.9744,17.1139,87.5969,1070.882,10.3719
LEN/B US Equity,LENNAR CORP - B SHS,2019,1,37.72,Consumer Goods,Household Goods & Home Construction,6.2231,8.2249,5.0995,7.3566,11.4372,12.4975,1.9231,375.093,10.8963
LEO GY Equity,LEONI AG,2019,1,32.17,Industrials,Electronic & Electrical Equipment,13.9916,216.2524,4.1011,8.2231,12.6223,12.9704,-20.2247,36.979376,3.3523
LG FP Equity,LAFARGE SA,2019,1,59.94,Industrials,Construction & Materials,119.84,996.9685,-1.1478,-13.7255,-2.7396000000000003,2.6914,29.7872,-55.104,6.2984
LH US Equity,LABORATORY CRP OF AMER HLDGS,2019,1,138.15,Health Care,Health Care Equipment & Services,14.2561,15.5693,8.5905,12.0677,21.4237,14.6711,86.9048,343.4,12.0982
LHA GY Equity,DEUTSCHE LUFTHANSA-REG,2019,1,22.44,Consumer Services,Travel & Leisure,4.7686,19.5717,5.7939,14.7853,22.7449,23.6522,-11.0236,1447.628,8.1898
LI FP Equity,KLEPIERRE,2019,1,29.9,Financials,Real Estate Investment Trusts,10.7142,19.5269,5.1370000000000005,6.9469,12.706,5.0526,11.7781,1012.6507999999999,134.7096
LIFE US Equity,ATYR PHARMA INC,2019,1,0.52,Health Care,Pharmaceuticals & Biotechnology,NA,NA,-51.4284,NA,-71.2986,-71.2986,44.186,-6.677,NA
LIGHT NA Equity,SIGNIFY NV,2019,1,22,Industrials,Electronic & Electrical Equipment,10.8894,8.7137,2.9021,6.6173,9.4932,15.524000000000001,-10.561,164.164,4.767
LIN GY Equity,LINDE PLC,2019,1,142.25,Basic Materials,Chemicals,20.4377,24.4658,4.9529,8.7208,12.0036,14.2131,52.9801,710.612,12.7579
LIN US Equity,LINDE PLC,2019,1,161.18,Basic Materials,Chemicals,NA,NA,NA,NA,NA,NA,NA,NA,NA
LINU GY Equity,LINDE AG - TENDER,2019,1,222,Basic Materials,Chemicals,NA,NA,3.2254,6.2012,8.2714,9.2159,-12.8474,534.968,11.6719
LKQ US Equity,LKQ CORP,2019,1,26.5,Consumer Goods,Automobiles & Parts,13.9074,17.9149,5.5576,10.7729,12.796,13.1252,5,234.733,7.8109
LLL US Equity,L3 TECHNOLOGIES INC,2019,1,197.83,Industrials,Aerospace & Defense,18.5701,19.4032,7.658,13.233,18.4032,15.4679,-16.0819,276,10.9332
LLTC US Equity,LINEAR TECHNOLOGY CORP,2019,1,65.42,Technology,Technology Hardware & Equipment,30.5994,24.3968,24.1592,28.3827,28.3827,29.7057,0,160.245,43.3601
LLY US Equity,ELI LILLY & CO,2019,1,116.94,Health Care,Pharmaceuticals & Biotechnology,23.2125,28.4474,1.0272,1.7624,3.2188,36.2893,113.2075,1426.4,12.3393
LM US Equity,LEGG MASON INC,2019,1,28.88,Financials,Financial Services,9.2299,4.3023,3.7006,5.0388,7.3173,6.5487,5.1282,135.728,NA
LMT US Equity,LOCKHEED MARTIN CORP,2019,1,290.17,Industrials,Aerospace & Defense,15.9561,44.1241,11.03,38.7285,200.5261,318.9236,54.6269,1851,13.6416
LNC US Equity,LINCOLN NATIONAL CORP,2019,1,57.45,Financials,Life Insurance,7.0407,6.4582,0.7089,10.7569,13.115,11.5282,20.1058,NA,NA
LNT US Equity,ALLIANT ENERGY CORP,2019,1,43.73,Utilities,Electricity,20.6243,302.4561,3.6128,6.9087,11.9341,11.3908,19.1781,256.1,19.9795
LO US Equity,LORILLARD INC,2019,1,71.67,Consumer Goods,Tobacco,20.7785,17.8802,29.5314,91.8185,263.7883,263.7883,1.3333,487,41.533
LOCAL FP Equity,SOLOCAL GROUP,2019,1,0.4782,Consumer Services,Media,0.2821,49.1939,6.3958,242.2706,NA,NA,-41.731,44.39889999999999,20.0876
LOR FP Equity,ARCELOR,2019,1,49.99,Basic Materials,Industrial Metals & Mining,9.0524,9.8648,8.482099999999999,-2.131,22.3907,22.3853,97.2422,2056.0679999999998,12.6941
LOW US Equity,LOWE'S COS INC,2019,1,95.29,Consumer Services,General Retailers,18.5044,14.806,10.6651,20.3141,69.347,73.8031,10.7143,2163,8.8964
LPX US Equity,LOUISIANA-PACIFIC CORP,2019,1,24.18,Industrials,Construction & Materials,8.8307,11.7889,20.6444,26.0652,31.0129,29.2878,12.987,167.6,22.6988
LR FP Equity,LEGRAND SA,2019,1,52.3,Industrials,Electronic & Electrical Equipment,17.9199,17.8254,8.5934,12.2245,19.5062,19.2278,16.266,304.10519999999997,18.4861
LRCX US Equity,LAM RESEARCH CORP,2019,1,169.61,Technology,Technology Hardware & Equipment,10.2759,9.4931,19.8949,27.258,36.8961,47.396,-5.7692,591.751,28.4717
LSI US Equity,LIFE STORAGE INC,2019,1,97.83,Financials,Real Estate Investment Trusts,22.3607,37.3571,3.4917,3.5926,6.682,6.7738,15.7895,56.543,39.1307
LU US Equity,NOKIA OF AMERICA CORP,2019,1,2.6001,Technology,Technology Hardware & Equipment,21.25,32.0758,3.3192,14.3641,102.1318,119.3798,0,347,7.7876
LUK US Equity,LEUCADIA NATIONAL CORP,2019,1,24.16,Financials,Financial Services,18.6422,13.2009,1.6061,5.1409,7.3182,4.9233,12.3331,254.057,8.8127
LUV US Equity,SOUTHWEST AIRLINES CO,2019,1,57.49,Consumer Services,Travel & Leisure,13.3375,10.9748,9.6002,18.0922,25.2898,24.982,-60.339,820,14.5959
LUX IM Equity,LUXOTTICA GROUP SPA,2019,1,52.14,Consumer Goods,Personal Goods,27.5725,26.5197,9.9687,13.7455,17.5154,16.4979,-5.9322,875.563528,13.5955
LVLT US Equity,LEVEL 3 COMMUNICATIONS INC,2019,1,53,Telecommunications,Fixed Line Telecommunications,27.5694,18.8202,0.236,0.5133,0.4576,0.7683,-43.949,227,11.479800000000001
LW US Equity,LAMB WESTON HOLDINGS INC,2019,1,72.14,Consumer Goods,Food Producers,23.3504,35.7095,16.3951,NA,NA,NA,30.3571,152.6,16.901
LXK US Equity,LEXMARK INTERNATIONAL INC-A,2019,1,40.49,Technology,Technology Hardware & Equipment,94.8846,17.2865,-1.7637,30.3899,-6.2303,2.5225,0,35.9,-0.0776
LXS GY Equity,LANXESS AG,2019,1,48.73,Basic Materials,Chemicals,24.4028,87.8986,2.7068,6.48,11.6533,10.8125,11.5384,167.60799999999998,6.5516
LYB US Equity,LYONDELLBASELL INDU-CL A,2019,1,86.5,Basic Materials,Chemicals,7.7306,10.054,21.8469,34.2461,64.0719,51.9216,7.1161,1317,14.7161
M US Equity,MACY'S INC,2019,1,25.56,Consumer Services,General Retailers,5.0749,5.6948,8.8756,16.8978,32.0463,21.1358,50,303,7.3274
MA US Equity,MASTERCARD INC - A,2019,1,209.8,Financials,Financial Services,32.185,37.2455,25.3697,52.687,107.8708,126.2802,314.2857,1234,48.709
MAA US Equity,MID-AMERICA APARTMENT COMM,2019,1,102.95,Financials,Real Estate Investment Trusts,52.2167,52.3468,1.9539,2.1006,3.5292,3.5568,-50.9259,108.167,25.1675
MAC US Equity,MACERICH CO/THE,2019,1,46.44,Financials,Real Estate Investment Trusts,72.6037,60.8309,0.8704,1.0935,2.3862,2.6661,333.3333,61.329,21.369
MAN GY Equity,MAN SE,2019,1,90.25,Industrials,Industrial Engineering,31.2408,29.0278,2.8586,2.1012,9.929,7.6129999999999995,71.722,366.212,4.5918
MAP SQ Equity,MAPFRE SA,2019,1,2.482,Financials,Nonlife Insurance,21.4497,NA,1.1572,NA,9.2056,11.2814,385.1341,NA,NA
MAR US Equity,MARRIOTT INTERNATIONAL -CL A,2019,1,113.6,Consumer Services,Travel & Leisure,23.3383,22.2482,7.0399,15.0508,49.5026,52.3471,6.9231,570,11.1863
MAS US Equity,MASCO CORP,2019,1,32,Industrials,Construction & Materials,13.1689,12.0402,11.1782,24.6925,124.8685,126.1908,22.9167,300,14.1721
MAT US Equity,MATTEL INC,2019,1,12.29,Consumer Goods,Leisure Goods,21.7063,83.8778,-14.1626,-17.1203,-78.5539,-70.2108,-337.5,121.874,-12.9788
MAU FP Equity,MAUREL ET PROM,2019,1,3.465,Oil & Gas,Oil & Gas Producers,23.4924,9.1202,3.8573,5.953,8.9189,9.9419,6.281,60.73723599999999,24.6744
MB IM Equity,MEDIOBANCA SPA,2019,1,7.85,Financials,Banks,8.0284,NA,1.1104,1.2728,8.8829,8.9644,-21.4368,245.5572,NA
MBI US Equity,MBIA INC,2019,1,9.4,Financials,Nonlife Insurance,188.8829,21.3198,-3.6414,-2.1007,-23.1534,-25.1797,76.9585,NA,NA
MC FP Equity,LVMH MOET HENNESSY LOUIS VUI,2019,1,280,Consumer Goods,Personal Goods,22.1457,23.8255,8.8216,16.3525,20.7437,21.1301,3.4073,6056.848,21.0439
MCD US Equity,MCDONALD'S CORP,2019,1,180.25,Consumer Services,Travel & Leisure,24.0791,32.9727,17.7867,26.1054,84.5129,88.5711,106.8182,1999.5,41.962
MCHP US Equity,MICROCHIP TECHNOLOGY INC,2019,1,80.35,Technology,Technology Hardware & Equipment,28.5965,13.6922,0.2066,0.4532,0.6336,19.3893,-49.3827,102.7,15.6049
MCK US Equity,MCKESSON CORP,2019,1,125.23,Consumer Services,Food & Drug Retailers,11.3095,9.5962,-0.5047,-0.8717,-6.1166,18.9014,-44.2396,683,0.2393
MCO US Equity,MOODY'S CORP,2019,1,155.73,Financials,Financial Services,22.8792,22.1586,12.9575,23.2204,360.4284,328.2601,-2.4096,466.8,42.9718
MDLZ US Equity,MONDELEZ INTERNATIONAL INC-A,2019,1,44,Consumer Goods,Food Producers,19.2954,23.7207,5.2162,8.4101,12.6978,13.7764,21.7391,870,12.7689
MDN GY Equity,MEDION AG,2019,1,14.9,Industrials,Support Services,20.6938,7.2959,2.9932,3.9454,6.045,5.4848,33.3333,8.292003999999999,2.3881
MDP US Equity,MEREDITH CORP,2019,1,54.37,Consumer Services,Media,14.0239,36.7009,1.8072,11.7056,7.9557,12.1027,-52.6977,53.7,3.6742
MDR US Equity,MCDERMOTT INTL INC,2019,1,9.11,Oil & Gas,"Oil Equipment, Services & Distribution",20.2398,48.1034,1.414,28.0981,4.1586,5.6029,-99,129,5.6147
MDT US Equity,MEDTRONIC PLC,2019,1,87.74,Health Care,Health Care Equipment & Services,21.9773,24.4951,2.4763,3.5132,4.4739,10.4688,-44.2953,1544,20.2153
MEA US Equity,METALICO INC,2019,1,0.5701,Industrials,Support Services,33.8844,1.1429,-29.2469,-30.3656,-57.366,-23.2846,-66.6667,-13.574,-9.3752
MED IM Equity,MEDIOLANUM SPA,2019,1,7.515,Financials,Life Insurance,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEDI US Equity,MEDIMMUNE LLC,2019,1,57.97,Health Care,Pharmaceuticals & Biotechnology,86.5224,522.2818,5.458,7.2982,10.3211,10.3211,252.6316,232.4,7.6093
MEE US Equity,ALPHA APPALACHIA HOLDINGS LL,2019,1,65.52,Basic Materials,Mining,58.134,44.4132,-4.6198,-4.5684000000000005,-11.6891,-11.1198,-23.5294,15.44,-5.746
MEL US Equity,MELLON FINANCIAL CORP,2019,1,44.51,Financials,Banks,17.8138,20.127,2.3656,9.0066,20.9009,21.8336,21.4286,NA,NA
MEO GY Equity,METRO AG,2019,1,30.14,Consumer Services,General Retailers,64.0252,13.8645,-2.5306,-17.1512,-31.3146,15.4361,-16.1298,173.34799999999998,1.8452
MER US Equity,MERRILL LYNCH & CO INC,2019,1,11.24,Financials,Banks,15.1136,0.6599,0.3109,0.3867,3.155,3.2349,20.9228,2221,NA
MET US Equity,METLIFE INC,2019,1,44.76,Financials,Life Insurance,12.6351,3.9204,0.7663,8.5532,10.1941,6.0277,8.5473,NA,NA
METSB FH Equity,METSA BOARD OYJ,2019,1,6.42,Basic Materials,Forestry & Paper,11.1228,26.4032,8.8096,8.1992,16.3602,16.7221,45.4545,33.5216,6.4674
METSO FH Equity,METSO OYJ,2019,1,26.18,Industrials,Industrial Engineering,16.732,35.5548,5.6655,6.6705,13.4032,13.4032,207.6923,104.46799999999999,10.6162
MF FP Equity,WENDEL,2019,1,107.4,Financials,Financial Services,126.5509,10.7213,1.3009,6.4372,9.0459,-26.4077,-84.9205,411.21359999999993,8.211
MFE US Equity,MCAFEE INC,2019,1,47.97,Technology,Software & Computer Services,33.0857,14.6413,4.493,18.6219,8.4812,10.5815,11.4286,58.728,11.1111
MGM US Equity,MGM RESORTS INTERNATIONAL,2019,1,29.25,Consumer Services,Travel & Leisure,29.8734,69.6071,6.3563,10.3678,28.704,7.6964,0,410.903,12.0018
MHK US Equity,MOHAWK INDUSTRIES INC,2019,1,125.62,Consumer Goods,Household Goods & Home Construction,10.2972,24.7323,7.0315,8.9872,12.1613,14.0075,-16.5289,287.244,12.3728
MHS US Equity,MEDCO HEALTH SOLUTIONS INC,2019,1,70.26,Consumer Services,Food & Drug Retailers,19.6622,17.2475,8.1925,16.5265,34.0338,35.2656,-23.1707,455.5,3.5193
MI US Equity,MARSHALL & ILSLEY CORP,2019,1,8.07,Financials,Banks,9.3353,4.2087,-0.9737,-4.1208,-12.8135,-12.9294,0,NA,NA
MIG GA Equity,MARFIN INVESTMENT GROUP HOLD,2019,1,0.0718,Financials,Financial Services,0.4213,8.7828,-2.8152,-0.2895,-27.1062,-19.6695,88.0949,48.965644,3.7796
MJN US Equity,MEAD JOHNSON NUTRITION CO,2019,1,89.98,Consumer Goods,Food Producers,26.9544,28.3497,14.3646,27.5277,158.8987,159.9187,66.6667,155.1,22.4803
MKC US Equity,MCCORMICK & CO-NON VTG SHRS,2019,1,122.19,Consumer Goods,Food Producers,24.8009,24.9773,9.0436,13.8446,32.5749,23.1859,20.8955,294.9,16.7003
MKG US Equity,MALLINCKRODT INC,2019,1,4.38,Health Care,Health Care Equipment & Services,15.2033,23.9827,5.7533,12.0211,18.7775,18.6674,27.3973,96.4,12.3568
ML FP Equity,MICHELIN (CGDE),2019,1,95.98,Consumer Goods,Automobiles & Parts,10.1985,15.2057,6.7783999999999995,12.5465,16.0706,17.1376,8.272,1549.8,11.9094
MLM US Equity,MARTIN MARIETTA MATERIALS,2019,1,177.63,Industrials,Construction & Materials,22.5248,33.7185,8.7767,12.0126,16.2048,10.8233,19.1667,240.662,17.3343
MLP GY Equity,MLP SE,2019,1,4.305,Financials,Financial Services,13.4012,2.5309,1.5645,7.357,8.5864,8.2957,600,11.972491999999999,NA
MMB FP Equity,LAGARDERE SCA,2019,1,23,Consumer Services,Media,15.3345,18.3549,3.5283,8.3614,15.5897,11.1539,333.3333,278.964,5.9335
MMC US Equity,MARSH & MCLENNAN COS,2019,1,86.54,Financials,Nonlife Insurance,20.7524,21.0336,7.8558,14.3207,22.1923,29.2484,500,621,18.4682
MMI US Equity,MARCUS & MILLICHAP INC,2019,1,39.02,Financials,Real Estate Investment & Services,17.9186,14.2003,14.8898,19.6823,20.1483,23.5233,32.5,27.384,13.6161
MMM US Equity,3M CO,2019,1,198.8,Industrials,General Industrials,20.144,24.1131,14.3622,22.5061,50.0866,56.1033,163.6364,1783,21.996
MMT FP Equity,M6-METROPOLE TELEVISION,2019,1,13.58,Consumer Services,Media,9.6341,6.3738,12.3985,25.1395,28.0982,25.6533,15.146,146.944,17.5268
MN IM Equity,ARNOLDO MONDADORI EDITORE,2019,1,1.682,Consumer Services,Media,23.1116,NA,-15.9212,NA,-80.6018,16.5677,8.3616,50.626799999999996,4.8279
MNK US Equity,MALLINCKRODT PLC,2019,1,21.83,Health Care,Pharmaceuticals & Biotechnology,30.7312,3.3751,11.6536,16.9529,29.3618,9.0211,125.4545,56,6.1822
MNST US Equity,MONSTER BEVERAGE CORP,2019,1,56.24,Consumer Goods,Beverages,31.6811,28.92,19.9414,67.805,24.9358,23.6546,23.0769,339.573,33.6885
MO US Equity,ALTRIA GROUP INC,2019,1,49.17,Consumer Goods,Tobacco,12.3855,11.4288,14.0894,19.0697,46.1742,49.9934,-74.2308,1744,46.4411
MOLX US Equity,MOLEX LLC/US,2019,1,38.68,Industrials,Electronic & Electrical Equipment,26.0722,93.9257,6.8997,NA,10.059,10.5064,17.5,123.122,10.2344
MON US Equity,MONSANTO CO,2019,1,127.94,Consumer Goods,Food Producers,22.2451,28.6067,11.3073,18.9336,37.4756,38.3174,6.1093,1896,22.1956
MONC IM Equity,MONCLER SPA,2019,1,32.99,Consumer Goods,Personal Goods,24.9041,22.0706,21.6961,30.2336,33.5624,33.5624,41.1765,98.428372,28.3945
MOO NA Equity,VAN DER MOOLEN HOLDING,2019,1,0.01,Financials,Financial Services,4.2453,4.5848,-1.3136999999999999,-4.9777,-21.2766,-2.7996,-55.5556,21.238,NA
MOR GY Equity,MORPHOSYS AG,2019,1,95.5,Health Care,Pharmaceuticals & Biotechnology,73.1491,25.5016,-5.5051,-5.9061,-6.103,-4.9786,-35.7143,34.606115599999995,-28.4927
MOS US Equity,MOSAIC CO/THE,2019,1,31.61,Basic Materials,Chemicals,19.4644,26.5255,-0.3841,-0.7161,-0.7142,4.9321,-1.5385,393.3,8.7065
MPC US Equity,MARATHON PETROLEUM CORP,2019,1,66.13,Oil & Gas,Oil & Gas Producers,11.7167,14.2659,7.7026,14.4628,27.3704,16.6012,-8.9385,1403,5.5168
MRK GY Equity,MERCK KGAA,2019,1,91.64,Health Care,Pharmaceuticals & Biotechnology,37.077,30.8854,5.4241,NA,13.3797,15.689,-47.8873,563.668,10.9719
MRK US Equity,MERCK & CO. INC.,2019,1,73.15,Health Care,Pharmaceuticals & Biotechnology,16.8928,23.8577,3.9829,6.3743,9.9646,32.6617,-9.8592,2493,18.3829
MRL SQ Equity,MERLIN PROPERTIES SOCIMI SA,2019,1,11.72,Financials,Real Estate Investment Trusts,6.3735,NA,9.1235,9.7518,19.6113,4.0145,-55.3041,-40.127192,242.2657
MRO US Equity,MARATHON OIL CORP,2019,1,16.03,Oil & Gas,Oil & Gas Producers,22.3207,27.6618,3.0319,14.0776,5.6929,4.5006,98.1595,359,19.784300000000002
MS IM Equity,MEDIASET SPA,2019,1,2.935,Consumer Services,Media,39.6792,3.7865,2.2448,2.4052,4.2528,5.5563,52.4195,-10.4468,8.0949
MS US Equity,MORGAN STANLEY,2019,1,42.3,Financials,Financial Services,8.887,13.7809,1.026,1.977,11.6958,11.7751,176.0934,4979,NA
MSCI US Equity,MSCI INC,2019,1,161.43,Financials,Financial Services,34.2566,25.897,15.2435,25.1719,113.8009,119.5818,143.0556,169.818,47.9014
MSFT US Equity,MICROSOFT CORP,2019,1,103.8,Technology,Software & Computer Services,25.6421,25.1578,13.0291,20.1152,39.3471,37.1804,35.2941,10258,32.8249
MSI US Equity,MOTOROLA SOLUTIONS INC,2019,1,116.64,Technology,Technology Hardware & Equipment,19.5772,21.8291,-0.3527,-0.8803,18.9452,18.8915,16.9231,294,17.6103
MT NA Equity,ARCELORMITTAL,2019,1,20.1,Basic Materials,Industrial Metals & Mining,4.5518,26.212,5.8656,19.7723,12.9801,14.588799999999999,-24.5763,1798.916,8.9252
MTB US Equity,M & T BANK CORP,2019,1,165.33,Financials,Banks,13.0239,11.8433,1.6072,7.2557,12.555,12.4182,87.0647,NA,NA
MTC US Equity,MMTEC INC,2019,1,6.219,Financials,Financial Services,NA,NA,NA,4.2982,8.9771,NA,NA,NA,NA
MTD US Equity,METTLER-TOLEDO INTERNATIONAL,2019,1,631.99,Industrials,Electronic & Electrical Equipment,31.9619,38.0118,16.1587,27.3022,78.1933,94.6398,22.9268,167.887,22.1913
MTG US Equity,MGIC INVESTMENT CORP,2019,1,12.32,Financials,Financial Services,6.987,8.5936,11.863,16.9594,19.8948,19.8534,528.5714,NA,NA
MTP FP Equity,ARCELORMITTAL,2019,1,42.0675,Basic Materials,Industrial Metals & Mining,NA,NA,5.8656,19.7723,12.9801,14.588799999999999,-24.5763,1798.916,8.9252
MTW US Equity,MANITOWOC COMPANY INC,2019,1,15.19,Industrials,Industrial Engineering,27.524,17.7716,2.9303,10.0517,7.1199,1.3774,-70.3704,16.9,2.7413
MTX GY Equity,MTU AERO ENGINES AG,2019,1,192.4,Industrials,Aerospace & Defense,21.7306,24.6916,6.5727,10.2919,21.3793,22.7066,30.0578,165.54159999999996,12.2657
MU US Equity,MICRON TECHNOLOGY INC,2019,1,37.63,Technology,Technology Hardware & Equipment,3.1139,4.9192,35.9157,42.282,55.4978,56.5195,75.1174,4377,49.337
MUR US Equity,MURPHY OIL CORP,2019,1,28,Oil & Gas,Oil & Gas Producers,21.2991,33.5711,3.9314,7.4677,8.7009,4.768,196.9697,149.842,25.0158
MUV2 GY Equity,MUENCHENER RUECKVER AG-REG,2019,1,196.8,Financials,Nonlife Insurance,12.5671,NA,0.9654,1.575,9.4789,9.6131,2.7601,NA,NA
MVC SQ Equity,METROVACESA SA,2019,1,10.84,Financials,Real Estate Investment & Services,7.9227,2142.5876,-2.1439,-2.0183,-2.2912,-2.3526,-44.061,-1.816136,-86.791
MWW US Equity,MONSTER WORLDWIDE INC,2019,1,3.39,Industrials,Support Services,17.8496,29.647,-26.3675,9.8384,-81.0344,5.441,-6900,-193.211,-53.5782
MXIM US Equity,MAXIM INTEGRATED PRODUCTS,2019,1,54.26,Technology,Technology Hardware & Equipment,19.3943,20.3894,11.2324,9.6904,24.8272,39.5286,29.0909,234.183,34.7033
MYL US Equity,MYLAN NV,2019,1,30.81,Health Care,Pharmaceuticals & Biotechnology,16.618,7.374,1.5752,3.9485,4.3032,10.0003,100,338.2,9.4298
N US Equity,NETSUITE INC,2019,1,94,Technology,Software & Computer Services,NA,76.3043,-11.5262,-20.6745,-41.8195,-39.1547,10.6383,-28.845,-12.8066
NAD FP Equity,WANADOO,2019,1,8.86,Consumer Services,General Retailers,82.8037,27.5289,4.7357,-0.3862,8.3917,8.3917,435,-114.86543599999999,-3.8232
